GUIA,FECHA_DE_PEDIDO,FECHA_DE_EMBARQUE,DIAS_EMBARQUE,A_TIEMPO,ID_PEDIDO,FACTURA,IMPORTE_FACTURA,CLIENTE,COSIGNADO,CAJAS,N_PIEZAS,TIPO_UNIDAD,TARIFA_CAMION,TARIFA_PAQUETERIA,MANIOBRAS,REPARTOS,COSTO_TOTAL_FLETE,TIPO_FLETE,NEGOCIO,LINEA_TRANSPORTE,STATUS,MES,UBICACION,CIUDAD,ESTADO,RUTA
2518,2006-01-02,2006-01-04,2,1,65854,409549,2369,H.E.B. ,IZTAPALAPA ,11,66,TORTON ,1100,0,0,0,1100,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65855,409550,602,H.E.B. ,IZTAPALAPA ,1,4,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65856,409551,1498,H.E.B. ,IZTAPALAPA ,5,50,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65858,409552,696,H.E.B. ,IZTAPALAPA ,2,12,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65860,409553,2092,H.E.B. ,IZTAPALAPA ,7,88,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65861,409554,1002,H.E.B. ,IZTAPALAPA ,1,6,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65862,409555,445,H.E.B. ,IZTAPALAPA ,3,26,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65863,409556,858,H.E.B. ,IZTAPALAPA ,2,18,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65864,409557,728,H.E.B. ,IZTAPALAPA ,1,4,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65865,409558,1738,H.E.B. ,IZTAPALAPA ,7,38,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65866,409559,140,H.E.B. ,IZTAPALAPA ,1,12,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65867,409560,5467,H.E.B. ,IZTAPALAPA ,27,182,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65869,409561,728,H.E.B. ,IZTAPALAPA ,1,4,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65870,409562,1687,H.E.B. ,IZTAPALAPA ,5,46,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65871,409563,461,H.E.B. ,IZTAPALAPA ,2,12,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65872,409564,546,H.E.B. ,IZTAPALAPA ,3,10,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65874,409565,280,H.E.B. ,IZTAPALAPA ,2,24,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
2518,2006-01-02,2006-01-04,2,1,65875,409566,1002,H.E.B. ,IZTAPALAPA ,1,6,TORTON ,0,0,0,0,0,LOCAL,HOGAR,TIGRE,ENTREGADO ,2006-01-01,Centro,MEXICO ,D.F. ,Local
